"id","product","price","seller","city","rating","sold"
1,"Seblak Sultan instant",14000,"Sultan Meat Shop","Medan","NaN",250
2,"Seblak Instan Premium Bangsatria",21000,"Foodstocks","Jakarta Selatan","NaN",100
3,"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",13500,"Brother Meat Shop","Jakarta Selatan","NaN",250
4,"Paket Isi 6 Cuanki Instan Lakoca | Latagor | Seblak | Makaroni",93840,"Lakoca Official Shop","Cimahi","NaN",50
5,"Seblak Instant Viral Khas Sajodo Snack & Food",24500,"Foodstocks","Jakarta Selatan","NaN",4
6,"seblak instant komplit bumbu cikruh bandung aufaro snack",6800,"AUFARO SNACK","Kab. Bandung Barat","5",1000
7,"12 Bungkus Mix Baso Aci isi 6 pcs X Seblak Instan isi 6 pcs",31600,"Warungceria2020","Kab. Garut","4.8",250
8,"Seblak instan komplit / seblak instan murah",5000,"ismileusa_id","Kab. Bandung","4.7",1000
9,"seblak instan jeletot jajanan hits bandung 1 porsi",4180,"tokomakanankalimantan","Jakarta Barat","4.8",2000
10,"SEBLAK INSTAN SAJODO SNACK",35000,"Sajodo Snack & Food","Tasikmalaya","4.9",100
11,"Seblak instan komplit / seblak instan murah",5000,"ismileusa_id","Kab. Bandung","NaN",1000
12,"Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS",93840,"Lakoca Official Shop","Cimahi","NaN",100
13,"Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung",19110,"Foodstocks","Jakarta Selatan","NaN",250
14,"Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah",64906,"Lakoca Official Shop","Cimahi","NaN",30
15,"Seblak Instant Basranger Extra Pedas Daun Jeruk Porsi Banyak",16625,"Foodstocks","Jakarta Selatan","NaN",25
16,"Seblak Instant Homemade Lengkap Bumbu",5500,"Pedas Gilaa","Surabaya","4.8",3000
17,"GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP",3999,"MarkCi .id","Kab. Garut","4.6",100
18,"Seblak Instan Lengkap Cemilan Enak, Oleh Oleh Garut",4500,"Endo Shop ID","Kab. Garut","4.8",250
19,"CAP IBU Bumbu Seblak Bandung - Bumbu Masak Instan Premium",40000,"Cap Ibu Official Store","Jakarta Timur","4.9",90
20,"SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP",20000,"Rasa Juara Indonesia","Kab. Bandung","4.9",1000
21,"SEBLAK INSTANT TERMURAH",4450,"Pusat Cuankie & Cemilan Frozen","Jakarta Timur","4.8",10000
22,"SEBLAK INSTAN FCK BANDUNG TERLEZAT SEBLAK INSTANT JAMUR FCK SEBLAK ACI",20000,"Uai Food","Surabaya","4.6",500
23,"(HARGA TERMURAH) seblak instan mantap",3900,"baso aci zahra","Kab. Bandung","4.7",1000
24,"Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED)",26999,"Mama Fuji Official","Tangerang","4.8",100
25,"Seblak Instan Premium Bangsatria",21000,"Foodstocks","Jakarta Selatan","4.9",100
26,"Indomie Mie Goreng Rendang Empal Gentong Iga Penyet Mie Aceh Kebab Rendang Ayamg Panggang Rica-rica Soto Soto Special Soto Lamongan Kari Ayam Ayam Bawang Ayam Special Kaldu Ayam Soto Banjar Seblak Hot Jeletot Cabe Ijo Mie Instant 5 Pcs",27500,"Toko-SRF","Jakarta Selatan","NaN",8
27,"Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr",18900,"Foodstocks","Jakarta Selatan","NaN",100
28,"SEBLAK INSTAN MANG MUSS",14999,"Seblak Mang Muss","Tasikmalaya","NaN",750
29,"Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr)",19700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",100
30,"Seblak Basah Instant Pedas / Extra Pedas",20000,"kualikika","Kab. Tangerang","5",40
31,"bumbu seblak basah instan",26666,"Kickball Official","Bandung","4.7",250
32,"SEBLAK INSTAN TERMURAH",3500,"Cemilan-Ce","Kab. Sidoarjo","4.9",100
33,"seblak instan murah meriah harga grosir",3000,"Ratu Yati","Kab. Tangerang","NaN",0
34,"SEBLAK INSTAN | BASO ACI | CUANKIE KUAH INSTAN",2900,"Kairashop_id","Surabaya","4.4",100
35,"PAKET SEBLAK INSTAN ISI 10pcs LEBIH MURAH",28500,"BANDUNG SNACK CENTER.ID","Kab. Bandung","5",8
36,"Seblak Instan Komplit Pedas Gurih Nikmat",5999,"Baso Aci Ayang","Kab. Garut","4.9",3000
37,"Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet",7138,"Berkah Food Bandung","Cimahi","4.9",7000
38,"SEBLAK INSTAN NGABRET BANDUNG - SURABAYA SEBLAK INSTAN KOMPLIT",5048,"Uai Food","Surabaya","4.5",50
39,"Seblak instan yoi enak dan kenyang",7500,"SeblakYoi","Bekasi","4.9",500
40,"BUMBU INSTANT SEBLAK 1 KG GURIH ASIN TAWAR TABUR KILOAN RACIK TERMURAH BAKSO CUANKI",18000,"ARDJOENA_OLSHOP","Kab. Bekasi","5",30
41,"Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr",20700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",100
42,"Kylafood Seblak Rempah Autentik isi (5pcs)",64500,"kylafood","Bandung","NaN",500
43,"Seblak Basah Instan Good Friend (90gr)",17700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",50
44,"SEBLAK BANTAT PEDAS CIKUR 200gr",15000,"KRACemils","Kab. Bandung","NaN",0
45,"lumpia seblak / seblak crispy",16000,"Ratih Frozen Food","Depok","NaN",0
46,"Sj Seblak Instan Kemasan Teh Nina Best",21000,"MOM COLLECTION'","Bekasi","NaN",10
47,"Seblak Instan Bang Satria Kemasan Premium 1 PCS",21250,"Pusat Pajamas Tasik","Tasikmalaya","5",8
48,"BUNDLING 3 SEBLAK INSTAN SAJODO SNACK & FOOD",65500,"Sajodo Snack & Food","Tasikmalaya","5",2
49,"Seblak Instan Sehati",15000,"Official Kartika Sari","Bandung","5",750
50,"Seblak Instan Kang Atha",3499,"Kripik Kita Indonesia","Kab. Kediri","4.6",50
51,"SEBLAK instan Murah ENak Lengkap",8000,"kakai_store10","Kab. Bantul","5",26
52,"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",65000,"Sajodo Snack & Food","Tasikmalaya","5",18
53,"[READY MEDAN] Seblak Marenta Instan Asli Bandung Komplit Pedas Gurih",18000,"CemilanPuas","Medan","5",50
54,"baso aci / seblak instan",6000,"Nyum_mama","Pekanbaru","4.8",100
55,"seblak instant sajodo snak",18950,"hikmah berkah jaya","Jakarta Barat","4.9",1000
56,"SEBLAK CUANKI KUAH CUP INSTAN PUSPA ( PUSAKA PARAHYANGAN ) 6 min",12500,"Berkah Niaga Jaya","Kab. Garut","4.9",750
57,"Batagor Seblak Cuanki Kuah Rebus Instan Ma Acih Cemilan Tradisional",21750,"TOSERDA","Bandung","4.8",100
58,"seblak merapi instan pedas praktis",7500,"alfirayhan","Kab. Garut","NaN",0
59,"Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan",17000,"Central Seblak Nusantara","Tangerang Selatan","4.9",2000
60,"paket hemat 4 seblak aceng 4 cuanki instan dan 4 baso aci",60000,"cemilan Bandungstore","Cimahi","4.8",17
61,"(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta",8380,"karoppotta official","Makassar","4.9",100
62,"SEBLAK INSTAN PEDAS DAN GURIH",4999,"Indhymarket","Depok","5",50
63,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",22500,"global cookware1","Jakarta Barat","4.8",1000
64,"SEBLAK INSTAN SAJODO SNACK & FOOD",26000,"Sajodo Snack & Food","Tasikmalaya","5",3
65,"Bumbu Instan Cimol Seblak Cilok Atoom Atom Bulan Grosir",1000,"yohangunawan94","Bandung","5",4000
66,"SEBLAK INSTAN KOMPLIT BY MAMAKE",16000,"ngemilasik_19","Kab. Badung","5",30
67,"SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH",3500,"Uai Food","Surabaya","4.6",80
68,"12PCS SEBLAK INSTAN KHAS BANDUNG",30000,"Warungceria2020","Kab. Garut","5",21
69,"[READY MEDAN] Seblak Bandung Instan Super Pedas Termurah Lidah Cuanki",6900,"CemilanPuas","Medan","4.8",500
